problem,version,input,time_ms
power,iter,10,0.00000252
power,rec,10,0.00000234
power,iter,20,0.00000612
power,rec,20,0.00000405
power,iter,30,0.00001480
power,rec,30,0.00000530
power,iter,40,0.00000687
power,rec,40,0.00000686
power,iter,60,0.00001096
power,rec,60,0.00001552
fibonacci,iter,10,0.00000343
fibonacci,rec,10,0.00006199
fibonacci,iter,20,0.00000971
fibonacci,rec,20,0.00971151
fibonacci,iter,30,0.00001317
fibonacci,rec,30,1.21707245
fibonacci,iter,35,0.00001526
fibonacci,rec,35,13.12300250
fibonacci,iter,40,0.00001619
fibonacci,rec,40,163.65575300
gcd,iter,89,0.00001961
gcd,rec,89,0.00001971
gcd,iter,10946,0.00004135
gcd,rec,10946,0.00004150
gcd,iter,1346269,0.00006316
gcd,rec,1346269,0.00006315
gcd,iter,165580141,0.00008697
gcd,rec,165580141,0.00008494
gcd,iter,1836311903,0.00009727
gcd,rec,1836311903,0.00009684
